X,Y,OBJECTID,org_name,Name,addrln1,city,state,post_id,zip,latitude,longitude,POINT_X,POINT_Y
-117.8029195,34.10816913,63166,LA County,LA County Library - San Dimas Library,145 N Walnut Ave,San Dimas,CA,70552,91773,34.10816916,-117.8029194,6621328.492,1861803.71
-118.4387636,34.28553495,63169,LA County,LA County Library - San Fernando Library,217 N Maclay Ave,San Fernando,CA,70553,91340,34.28553498,-118.4387635,6429134.543,1926581.132
-118.0992885,34.09559049,63172,LA County,LA County Library - San Gabriel Library,500 S Del  Mar Ave,San Gabriel,CA,70554,91776,34.09559052,-118.0992884,6531610.253,1857182.464
-118.5305988,34.37965097,63174,LA County,LA County Library - Santa Clarita Valley Bookmobile,22704 9Th St,Santa Clarita,CA,70555,91321,34.379651,-118.5305987,6401575.232,1960965.015
-118.0622298,33.98008088,63175,LA County,LA County Library - Sorensen Library,6934 Broadway Ave,Whittier,CA,70556,90606,33.98008091,-118.0622297,6542803.941,1815137.228
-118.0466926,34.04486348,63178,LA County,LA County Library - South El Monte Library,1430 Central Ave,South El Monte,CA,70557,91733,34.04486351,-118.0466925,6547525.356,1838710.373
-118.0245345,33.9242999,63181,LA County,LA County Library - South Whittier Library,14433 Leffingwell Rd,Whittier,CA,70558,90604,33.92429993,-118.0245345,6554227.18,1794832.384
-118.5940012,34.38951621,64914,LA County,LA County Library - Stevenson Ranch Library,25950 The Old Rd,Stevenson Ranch,CA,71456,91381,34.38951624,-118.5940011,6382466.545,1964662.122
-117.9768008,34.05511698,63186,LA County,LA County Library - Sunkist Library,840 N Puente Ave,La Puente,CA,70559,91746,34.05511701,-117.9768007,6568697.437,1842439.348
-118.0567685,34.10799725,63188,LA County,LA County Library - Temple City Library,5939 Golden West Ave,Temple City,CA,70560,91780,34.10799728,-118.0567684,6544485.95,1861687.523
-118.6040447,34.09011862,65676,LA County,LA County Library - Topanga Library,122 N Topanga Canyon Blvd,Topanga,CA,71876,90290,34.09011865,-118.6040446,6378781.814,1855725.819
-117.9405396,34.07065206,63190,LA County,LA County Library - Urban Outreach Bookmobile,1601 W West Covina Pkwy,West Covina,CA,70561,91790,34.07065209,-117.9405395,6579677.672,1848097.379
-118.3411139,33.99287453,63192,LA County,LA County Library - View Park Bebe Moore Campbell Library,3854 W 54Th St,Los Angeles,CA,70562,90043,33.99287456,-118.3411138,6458269.695,1819962.709
-117.8434213,34.02607203,63194,LA County,LA County Library - Walnut Library,21155 La  Puente Rd,Walnut,CA,70563,91789,34.02607206,-117.8434212,6609114.767,1831905.464
-117.9405396,34.07065206,63197,LA County,LA County Library - West Covina Library,1601 W West Covina Pkwy,West Covina,CA,70564,91790,34.07065209,-117.9405395,6579677.672,1848097.379
-118.3833764,34.08167265,63199,LA County,LA County Library - West Hollywood Library,625 N San Vicente Blvd,West Hollywood,CA,70565,90069,34.08167268,-118.3833763,6445582.12,1852324.032
-118.7990995,34.14447544,63201,LA County,LA County Library - Westlake Village Library,31220 Oak Crest Dr,Westlake Village,CA,70566,91361,34.14447547,-118.7990995,6319882.783,1875918.845
-118.2389938,33.92543168,63205,LA County,LA County Library - Willowbrook Library,11838 Wilmington Ave,Los Angeles,CA,70567,90059,33.92543171,-118.2389937,6489166.578,1795329.547
-118.3731567,33.90953268,63207,LA County,LA County Library - Wiseburn Library,5335 135Th St,Hawthorne,CA,70568,90250,33.90953271,-118.3731566,6448444.121,1789667.511
-118.2995802,33.93985677,63209,LA County,LA County Library - Woodcrest Library,1340 W 106Th St,Los Angeles,CA,70569,90044,33.9398568,-118.2995801,6470802.117,1800628.376
